                 ,   6095.59 , 3000
   Ag            ,   2401.44 , 2000
   Ag Ni         ,   8394.71 , 3000
   Ag Ni Ri      ,   1603.24 , 4000
   Ag Ri         ,   1284.05 , 3000
   As Ba Va      ,   25.93   , 4000
   As Hi In Na Va,   211.30  , 2000
   As Lo Va      ,   691.80  , 4000
   As Na Ni Va   ,   389.65  , 4000
   As Na Va      ,   553.04  , 3000
   As Ni Va      ,   847.67  , 4000
   As Va         ,   50.30   , 3000
   Ba            ,   583.69  , 4000
   Ba De         ,   1.34    , 5000
   Ba De Po      ,   64.65   , 4000
   Ba Fl         ,   78.84   , 5000
   Ba Po         ,   121.92  , 3000
   Ba Va         ,   75.79   , 5000
   De            ,   2.77    , 4000
   De Hi         ,   11.42   , 3000
   De Hi In Na Po,   204.03  , 1000
   De Hi In Po   ,   99.54   , 1000
   De Hi Na Po   ,   155.37  , 2000
   De Hi Po      ,   46.15   , 2000
   De Lo         ,   38.47   , 5000
   De Lo Po      ,   1676.90 , 4000
   De Na Ni Po   ,   670.95  , 4000
   De Na Po      ,   956.92  , 3000
   De Ni         ,   47.72   , 5000
   De Ni Po      ,   2317.17 , 4000
   De Ni Ri      ,   21.68   , 6000
   De Po         ,   506.69  , 3000
   De Ri         ,   30.51   , 5000
   Fl            ,   1821.34 , 4000
   Fl Hi In      ,   627.58  , 2000
   Fl Lo         ,   2088.10 , 5000
   Fl Ni         ,   3730.14 , 5000
   Hi            ,   2416.74 , 2000
   Hi In         ,   1765.40 , 1000
   Hi In Na      ,   437.27  , 1000
   Hi In Na Po   ,   232.75  , 1000
   Hi In Na Va   ,   607.77  , 2000
   Hi In Po      ,   256.73  , 1000
   Hi Na Po      ,   275.75  , 2000
   Hi Po         ,   203.61  , 2000
   Lo            ,   15265.79, 4000
   Lo Po         ,   3218.21 , 3000
   Lo Va         ,   2029.97 , 5000
   Na            ,   1155.68 , 3000
   Na Ni         ,   807.47  , 4000
   Na Ni Po      ,   948.94  , 3000
   Na Ni Va      ,   1136.57 , 5000
   Na Po         ,   1350.80 , 2000
   Na Va         ,   1615.87 , 4000
   Ni            ,   15485.21, 4000
   Ni Po         ,   4796.86 , 3000
   Ni Ri         ,   989.51  , 5000
   Ni Va         ,   2486.40 , 5000
   Po            ,   1461.13 , 2000
   Ri            ,   2379.02 , 4000
   Va            ,   148.15  , 4000

